ID,name,size,parentID,value
0,Payment Service,3000,,1.000
1,Static Attribute,3000,0,0.110
2,Dynamic Attribute,3000,0,0.309
3,Domain Attribute,3000,0,0.581
4,Interface Stability,3000,1,0.067
5,Robustness,3000,1,0.042
6,Availability,3000,2,0.231
7,Performance,3000,2,0.079
8,User number,3000,3,0.227
9,Pay success rate,3000,3,0.354
10,Exception handling capability,3000,5,0.017
11,Self-recovery capability,3000,5,0.025
12,Response time,3000,6,0.231
13,Service run time,3000,7,0.034
14,Throughput,3000,7,0.045
